order_line_key,order_id,order_date,ship_date,order_timestamp,customer_key,product_key,location_key,ship_mode,quantity,sales_amount,discount_pct,profit_amount
OL_000001,ORD_000001,2025-08-05,2025-08-08,2025-08-05 08:20:32,CUST_0759,PRD_0107,LOC_001,First Class,1,308.19,0.23,-3.21
OL_000002,ORD_000002,2025-06-15,2025-06-16,2025-06-15 19:58:10,CUST_0275,PRD_0002,LOC_009,First Class,4,2726.3,0.2,922.1
OL_000003,ORD_000003,2024-04-05,2024-04-10,2024-04-05 12:30:09,CUST_0003,PRD_0060,LOC_008,Standard Class,1,54.91,0.2,10.83
OL_000004,ORD_000004,2025-01-16,2025-01-17,2025-01-16 23:15:03,CUST_0712,PRD_0054,LOC_006,Standard Class,7,387.1,0.0,116.48
OL_000005,ORD_000005,2025-04-19,2025-04-22,2025-04-19 06:44:13,CUST_0482,PRD_0074,LOC_009,Standard Class,3,152.43,0.0,43.11
OL_000006,ORD_000006,2024-07-03,2024-07-05,2024-07-03 09:22:11,CUST_0584,PRD_0102,LOC_006,Standard Class,3,1268.94,0.24,-29.97
OL_000007,ORD_000007,2024-02-15,2024-02-20,2024-02-15 06:33:50,CUST_0122,PRD_0006,LOC_005,Standard Class,4,3984.72,0.0,1735.96
OL_000008,ORD_000008,2024-06-20,2024-06-23,2024-06-20 04:50:11,CUST_0348,PRD_0023,LOC_006,Standard Class,7,5639.65,0.15,1885.06
OL_000009,ORD_000009,2024-12-26,2024-12-28,2024-12-26 03:05:35,CUST_0547,PRD_0019,LOC_001,Second Class,5,4389.66,0.1,1664.41
OL_000010,ORD_000010,2024-11-08,2024-11-13,2024-11-08 02:30:15,CUST_0221,PRD_0110,LOC_002,Standard Class,5,3796.56,0.38,-1151.29
OL_000011,ORD_000011,2024-05-23,2024-05-24,2024-05-23 16:36:48,CUST_0579,PRD_0030,LOC_005,First Class,4,1276.12,0.0,605.08
OL_000012,ORD_000012,2025-08-13,2025-08-17,2025-08-13 10:29:31,CUST_0201,PRD_0090,LOC_001,Second Class,3,344.57,0.2,56.57
OL_000013,ORD_000013,2025-10-20,2025-10-24,2025-10-20 10:40:23,CUST_0178,PRD_0109,LOC_008,Standard Class,1,160.07,0.14,15.83
OL_000014,ORD_000014,2024-06-07,2024-06-10,2024-06-07 04:09:45,CUST_0013,PRD_0106,LOC_002,Standard Class,5,1711.82,0.04,226.92
OL_000015,ORD_000015,2025-10-24,2025-10-27,2025-10-24 19:20:12,CUST_0237,PRD_0012,LOC_004,Standard Class,4,818.75,0.1,283.55
OL_000016,ORD_000016,2024-01-21,2024-01-25,2024-01-21 01:38:40,CUST_0218,PRD_0027,LOC_005,Standard Class,7,4325.71,0.1,1557.63
OL_000017,ORD_000017,2025-10-20,2025-10-24,2025-10-20 03:06:22,CUST_0609,PRD_0103,LOC_002,Second Class,1,1414.56,0.06,166.38
OL_000018,ORD_000018,2025-11-13,2025-11-18,2025-11-13 02:10:12,CUST_0472,PRD_0089,LOC_003,Standard Class,6,291.84,0.0,90.78
OL_000019,ORD_000019,2024-01-14,2024-01-17,2024-01-14 17:38:38,CUST_0151,PRD_0028,LOC_005,Standard Class,5,341.76,0.2,100.96
OL_000020,ORD_000020,2025-07-11,2025-07-15,2025-07-11 01:34:06,CUST_0472,PRD_0012,LOC_001,Standard Class,2,386.63,0.15,119.03
OL_000021,ORD_000021,2025-12-01,2025-12-03,2025-12-01 18:32:58,CUST_0193,PRD_0119,LOC_002,Standard Class,4,5736.42,0.21,-343.7
OL_000022,ORD_000022,2025-10-04,2025-10-08,2025-10-04 19:22:21,CUST_0362,PRD_0104,LOC_001,Standard Class,6,1157.35,0.07,150.55
OL_000023,ORD_000023,2025-12-01,2025-12-06,2025-12-01 00:23:18,CUST_0702,PRD_0072,LOC_005,Standard Class,5,604.3,0.1,124.3
OL_000024,ORD_000024,2025-03-17,2025-03-18,2025-03-17 20:53:16,CUST_0582,PRD_0077,LOC_008,Standard Class,2,281.68,0.0,94.62
OL_000025,ORD_000025,2024-03-17,2024-03-20,2024-03-17 08:12:39,CUST_0552,PRD_0073,LOC_008,Standard Class,5,670.8,0.0,181.55
OL_000026,ORD_000026,2025-08-27,2025-08-31,2025-08-27 14:43:28,CUST_0236,PRD_0023,LOC_004,First Class,1,663.49,0.3,127.12
OL_000027,ORD_000027,2025-04-25,2025-04-26,2025-04-25 06:15:29,CUST_0096,PRD_0112,LOC_007,Standard Class,1,1677.55,0.05,220.1
OL_000028,ORD_000028,2025-04-25,2025-04-30,2025-04-25 09:33:18,CUST_0596,PRD_0036,LOC_010,Standard Class,3,635.74,0.1,233.02
OL_000029,ORD_000029,2024-11-11,2024-11-12,2024-11-11 04:59:02,CUST_0472,PRD_0007,LOC_004,Standard Class,1,217.92,0.3,38.77
OL_000030,ORD_000030,2025-04-01,2025-04-02,2025-04-01 12:37:52,CUST_0530,PRD_0069,LOC_009,First Class,5,200.52,0.15,37.37
OL_000031,ORD_000031,2024-05-09,2024-05-10,2024-05-09 11:29:22,CUST_0770,PRD_0025,LOC_008,Standard Class,2,1637.32,0.0,708.78
OL_000032,ORD_000032,2025-06-29,2025-07-01,2025-06-29 09:39:06,CUST_0299,PRD_0087,LOC_002,Standard Class,3,302.81,0.1,83.06
OL_000033,ORD_000033,2024-03-15,2024-03-16,2024-03-15 15:23:53,CUST_0631,PRD_0069,LOC_004,First Class,5,212.31,0.1,49.16
OL_000034,ORD_000034,2025-06-24,2025-06-29,2025-06-24 09:34:14,CUST_0464,PRD_0048,LOC_010,Standard Class,6,365.31,0.1,80.07
OL_000035,ORD_000035,2025-08-27,2025-08-28,2025-08-27 20:38:39,CUST_0203,PRD_0079,LOC_002,Second Class,1,24.79,0.2,3.1
OL_000036,ORD_000036,2025-01-13,2025-01-15,2025-01-13 01:38:47,CUST_0056,PRD_0033,LOC_001,Standard Class,3,2197.69,0.1,828.67
OL_000037,ORD_000037,2025-02-16,2025-02-17,2025-02-16 17:29:57,CUST_0525,PRD_0082,LOC_003,Standard Class,4,87.96,0.15,21.6
OL_000038,ORD_000038,2024-08-14,2024-08-16,2024-08-14 10:51:23,CUST_0260,PRD_0051,LOC_001,First Class,1,76.63,0.0,25.06
OL_000039,ORD_000039,2025-11-30,2025-12-02,2025-11-30 10:39:39,CUST_0575,PRD_0048,LOC_002,Standard Class,2,115.01,0.15,19.93
OL_000040,ORD_000040,2025-06-25,2025-06-28,2025-06-25 04:32:27,CUST_0579,PRD_0002,LOC_004,Standard Class,4,3067.09,0.1,1262.89
OL_000041,ORD_000041,2024-09-25,2024-09-29,2024-09-25 11:10:37,CUST_0380,PRD_0103,LOC_008,Standard Class,3,3496.6,0.23,-247.94
OL_000042,ORD_000042,2024-05-22,2024-05-25,2024-05-22 09:30:24,CUST_0453,PRD_0005,LOC_002,Standard Class,5,2024.78,0.15,565.33
OL_000043,ORD_000043,2024-06-17,2024-06-18,2024-06-17 17:12:43,CUST_0534,PRD_0031,LOC_009,Standard Class,7,2615.13,0.0,1178.45
OL_000044,ORD_000044,2025-01-05,2025-01-10,2025-01-05 22:42:59,CUST_0391,PRD_0024,LOC_010,First Class,2,421.54,0.0,197.52
OL_000045,ORD_000045,2025-11-04,2025-11-08,2025-11-04 16:39:05,CUST_0695,PRD_0056,LOC_005,Standard Class,2,189.6,0.2,35.96
OL_000046,ORD_000046,2025-06-26,2025-06-27,2025-06-26 16:06:58,CUST_0071,PRD_0012,LOC_010,Same Day,7,1432.81,0.1,496.21
OL_000047,ORD_000047,2024-06-15,2024-06-20,2024-06-15 03:09:32,CUST_0775,PRD_0018,LOC_006,Standard Class,3,1104.89,0.1,364.34
OL_000048,ORD_000048,2025-09-02,2025-09-06,2025-09-02 06:46:10,CUST_0037,PRD_0048,LOC_001,Standard Class,1,47.36,0.3,-0.18
OL_000049,ORD_000049,2024-10-03,2024-10-07,2024-10-03 06:54:24,CUST_0177,PRD_0061,LOC_001,Standard Class,7,873.67,0.0,236.25
OL_000050,ORD_000050,2025-08-28,2025-08-31,2025-08-28 17:26:49,CUST_0582,PRD_0026,LOC_005,Standard Class,5,4183.88,0.1,1471.48
OL_000051,ORD_000051,2024-07-01,2024-07-06,2024-07-01 16:48:19,CUST_0083,PRD_0064,LOC_009,Second Class,7,772.87,0.0,218.82
OL_000052,ORD_000052,2025-04-28,2025-05-01,2025-04-28 17:45:48,CUST_0225,PRD_0065,LOC_001,Standard Class,6,123.72,0.0,33.18
OL_000053,ORD_000053,2025-10-21,2025-10-24,2025-10-21 04:28:21,CUST_0125,PRD_0034,LOC_006,Same Day,5,1089.09,0.1,457.09
OL_000054,ORD_000054,2024-07-10,2024-07-13,2024-07-10 21:33:52,CUST_0582,PRD_0016,LOC_008,Same Day,6,1865.7,0.0,770.58
OL_000055,ORD_000055,2025-06-05,2025-06-07,2025-06-05 08:57:48,CUST_0484,PRD_0047,LOC_010,Standard Class,1,129.21,0.0,36.71
OL_000056,ORD_000056,2025-12-18,2025-12-23,2025-12-18 06:18:48,CUST_0060,PRD_0107,LOC_009,First Class,5,1854.1,0.07,297.1
OL_000057,ORD_000057,2024-05-07,2024-05-10,2024-05-07 15:40:19,CUST_0383,PRD_0096,LOC_001,First Class,2,198.2,0.13,22.54
OL_000058,ORD_000058,2024-03-25,2024-03-28,2024-03-25 02:27:31,CUST_0177,PRD_0084,LOC_001,Standard Class,1,15.87,0.3,0.21
OL_000059,ORD_000059,2025-05-27,2025-06-01,2025-05-27 07:30:56,CUST_0759,PRD_0095,LOC_002,First Class,6,7828.99,0.2,57.43
OL_000060,ORD_000060,2024-09-02,2024-09-04,2024-09-02 14:01:38,CUST_0096,PRD_0077,LOC_003,First Class,1,119.71,0.15,26.18
OL_000061,ORD_000061,2024-03-12,2024-03-14,2024-03-12 04:00:13,CUST_0507,PRD_0063,LOC_009,Standard Class,1,102.47,0.0,34.01
OL_000062,ORD_000062,2025-01-16,2025-01-18,2025-01-16 15:22:15,CUST_0401,PRD_0105,LOC_006,Second Class,4,1401.64,0.03,210.08
OL_000063,ORD_000063,2025-07-06,2025-07-09,2025-07-06 08:06:56,CUST_0483,PRD_0117,LOC_010,Standard Class,3,3668.28,0.27,-183.63
OL_000064,ORD_000064,2024-07-27,2024-08-01,2024-07-27 14:28:56,CUST_0759,PRD_0082,LOC_004,Standard Class,7,181.09,0.0,64.96
